video_url,video_description,like_count,sentiment
https://www.tiktok.com/@aarinnola/video/7593777591492807958,"The CeraVe moisturizing lotion is my most purchased moisturizer. 4 years locked in and I'm not looking back anytime soon. I'm such a loyal babe. What is your most purchased moisturizer? Have you tried the skincare lotion moisturizer? CeraVe moisturizing lotion before

#skincare #lotion #moisturizer",31,positive
https://www.tiktok.com/@rubysacne/video/7628636046015646989,Replying to @shelbie_banister17 my thoughts on the new Cerave mineralspf #mineralsunscreen # “Invisible” mineral sunscreen #cerave,1499,neutral
https://www.tiktok.com/@thementorg1/video/7631321178551897357,"Is CeraVe ruining your skin? 🧴👎 Most men are blindly using this product without understanding what it’s actually doing to their face. In this video, I break down why it might be time to leave CeraVe behind — and what to use instead if you want real results.Whether you’re struggling with dry skin, breakouts, or dull texture — this is your wake-up call. Tap in and upgrade your skincare routine. 📍For more self-care, skincare, and CeraVe #SkincareForMen# .cologne game for men, follow thementorg# SelfCareForMen# GroomingTips# StopUsingThis# MenSkinCare# MenGlowUp# MensRoutine# FaceCare# TheMentorg# SkincareMistakes# SkincareTruth# ClearSkinJourney# FragranceAndFace# MensLifestyle# HealthySkinTips#",34,negative
https://www.tiktok.com/@adamrobertlamb/video/7437790256453225761,"Rating Popular CeraVe Cleansers from BEST to WORST!
#skincare101 #ceraveskincare #cerave #affordableskincare #skincaretips #skincaretiktok",164,neutral
https://www.tiktok.com/@natalie_oneillll/video/7324377521313582368,"I’ve said goodbye to ever working with Cerave many times, what’s another one? These are 4 acne products that I personally think often make acne a lot worse. Sometimes the product is poor, other times its the way it’s used incorrectly (usually shown on social media this way). This is a video for the edge cases, I’m sure many people also love these #badskincarehabits #worstskincareadvice #worstskincareproducts #skincaresmashorpass #viralskincare #overratedskincare",72100,negative
https://www.tiktok.com/@xomissvi/video/7661419405603065102,"I had my tinted SPF on for about a little over 8 hours so it was time to remove once I got home from work. I wasn't impressed by this makeup melter. It claimed to be able to remove waterproof and stubborn makeup but it did not. I'd had other amazing makeup remover products that does the job super quickly with little effort. This one I'll rate a 6/10 😳

#makeup #fyp #skin #ceravepartner #cerave",7,neutral
https://www.tiktok.com/@prince_kkyy/video/7559045491355389214,RETURNED THAT LOTION REAL QUICK TODAY! 🤢🤢🤢🤢 #cerave #skincare,111,negative
https://www.tiktok.com/@therealskiniminmd/video/7482090635835739438,#doctor #productreview #hairlossdoc #cerave,277,negative
https://www.tiktok.com/@dailyglambyshahad/video/7625022403818704158,"I had high hopes for this ...but it did NOTHING for my skin 😭 what toner do you recommend ??do you recommend
#honestreview #skincare #fyp",18,negative
https://www.tiktok.com/@tchaoskin/video/7559453084326300959,"Replying to @Tasha T a lot of the common cleansers I’ve tried unfortunately have been extremely underwhelming 🥲

i’m not getting the hype behind this Cerave foaming oil cleanser at all

*pr without oblig to post

#cerave #ceraveskincare #drugstoreskinscare #facecleanser #facialcleanser",5541,negative
https://www.tiktok.com/@lexallynn/video/7635035987206278430,This is going to be my new daily moisturizer. 👏🏻 This seriously has been exactly what I’ve been looking for!! @CeraVe #cerave #moisturizer #watergel #tiktokshopcreatorpicks,66,positive
https://www.tiktok.com/@manducheekz/video/7647112982488485141,"The older I get, the more I realize that squeaky clean isn’t the goal. Healthy, balanced skin is. 💙 A good cleanser really goes a long way.

#CleanseLikeADerm #CeraVePH #CeraVe",1279,positive
https://www.tiktok.com/@misspeytonsmith/video/7642208824077667604,CeraVe Hydrating Cleanser is SPF approved! Which cleanser should we try next?,4016,neutral
https://www.tiktok.com/@natsworld222/video/7492936925842656543,"I am very impressed @cerave I live a good hydrating washday! I enjoyed both the shampoo and conditioner 🤩

#ceraveshampoo #cerave #natsworld222 #natsworld #review #ceraveconditioner",184,positive
https://www.tiktok.com/@oritsetemisan/video/7616249158025956630,"My skin barrier was really struggling recently… my skin felt so dry and sensitive. Since using the CeraVe Moisturising Cream, my skin has felt so much more hydrated and calmer already. @CeraVeUKI 💙 #cerave #ceravemoisturizingcream #ceravemoisturiser #cerawardsuki #lorealistarskincident",2786,positive
https://www.tiktok.com/@namhlancamani/video/7574837332616940818,"Back with Part 2 of my #MySkinMyDrama journey 💧 It’s been 3 weeks using @CeraVe Skin Care , and I’m already seeing progress! From cleansing to hydration, my skin is slowly finding its glow. Stay tuned for Part 3 where I’ll share my full honest review 💙#MySkinMyDrama #CeraVeSouthAfrica #CeraVeZA #SkincareJourney",441,positive
https://www.tiktok.com/@skinandbase/video/7637249122927414550,Tried out @CeraVeUKI new invisible hydrating sunscreen so you don’t have to guess if it works for us • no cast • nourishing and hydrating • all skin types can use however oilier skin may find the shine builds throughout the day especially if reapplied #suncreenrecommendation #sunscreenreview #cerave #creatorsearchinsights,353,neutral
https://www.tiktok.com/@drnourgerbaka/video/7528818232388586770,#skincare #ceravearabia #CeraVe Arabia | A cleanser for every skin type #cleansers #skincareroutine #dermatologist #drnour#,147,neutral
https://www.tiktok.com/@dr.derm.love/video/7637266860160879903,#fyp #cetaphil #cerave #cleansers CeraVe v Cetaphil? Which do you like,47,neutral
https://www.tiktok.com/@raheem_reviews_/video/7638993312304631062,No stickiness or white casting with this invisible hydrating spf 50 sunscreen from Cerave!! #cerave #ceraveskincareproducts #spf50 #sunscreenlotion #tiktokmademebuyit,20,positive
https://www.tiktok.com/@keti.p7/video/7658404622410796321,"My simple night skincare routine 🌙🤍 @CeraVe Keeping my skin clean, hydrated, and happy. ✨ #skincare #nightroutine #cerave #selfcare #glowingskin",106,positive
https://www.tiktok.com/@ambsxgshop/video/7637208039354912022,The difference I’ve noticed 👀🫶🏼 #cerave #ceravesasmoothingcleanser #bodyacne #dryskin,5,positive
https://www.tiktok.com/@taohyun/video/7122515042964131118,Esthetician reviews: #cerave resurfacing retinol serum. . sort of a fluid gel consistency that is a bit sticky on the skin in my opinion. A bit irritating to my skin barrier. . I would pass on it. #skincare #ulta #fyp,299,negative
https://www.tiktok.com/@natalie_oneillll/video/7472781932615601410,I also rate the whole cerave range in an earlier video ✨ smash or pass Cerave cleansers bc they get so much hype #cerave #affordableskincare #skincareproduct #acneproneskin,31600,neutral
https://www.tiktok.com/@catduqbeauty/video/7619514603944348941,Love cerave but this is a miss for me #beauty #skincare #cleansingbalm #cerave,24,negative
https://www.tiktok.com/@florence_baitio/video/7567441010742119698,@CeraVe hydrating cream to foam cleanser. Current obsession #florencebaitio #cerave #skincareroutine #skincareviral #skintok,8491,positive
https://www.tiktok.com/@rubeslanamay/video/7453093370823494945,Cerave Review : Best & Worst🚨 #cerave #bestandworst #skincarereview #smashorpass #bestskincareproducts #worstskincareadvice #worstskincareproducts #viralskincare #fyp #foryou #acnesafeskincare,228,neutral
https://www.tiktok.com/@rylienealon/video/7588640721209462047,greenscreen#,97,negative
https://www.tiktok.com/@rubysacne/video/7489182749685812526,,5829,negative
https://www.tiktok.com/@nickimamas/video/7527685072892333326,"Replying to 🧚🏻‍♀️✈️Mare | Travel Agent@ if you have sensitive skin maybe skincare 😍! 2-3x/week instead?? but i think my nose looks better

#skincareproducts #skincaretok #sebaceousfilament #blackheads #skincareroutine #cerave #ceravesacleanser",1121,positive
https://www.tiktok.com/@princess.zeenah/video/7491022310393138437,"😭😭 I was really so disappointed, like this is the cerave hype
#skincarerant #fyp #skincarereview #skincare #cerave",68,negative
https://www.tiktok.com/@kendrathemom_/video/7487981439926029573,"Cerave products that are worth your money ! What brand should we review next
#brandreview #ceraveskincare #skincarereview #skincarerecommendations",66,positive
https://www.tiktok.com/@kendrathemom_/video/7295808298274671877,"The difference between these two Cerave cleansers! What product should I do next
#kendrathemom #skincarereviews #brandreview #cerave",4192,neutral
https://www.tiktok.com/@akwaugoj/video/7563696105540619541,"Skincare Review PT.1: Cerave Foaming Cleanser. This cleanser works well for normal to oily skin. Since I now have a oily-combination skin, my skin loves it. @CeraVe
#cerave #ceravefoamingcleanser #cleanserreview #ceravecleanser
Have you used this cleanser before? Let me know your thoughts…
Cerave Exfoliating Cleanser
Cerave Face Wash
Cerave Cleanser Burning
Cerave Sa Cleanser
Cerave Facial Cleanser Recall
Cerave Soothing Face Cleanser
Cerave Cleanser Ad
Cerave Foaming Cleanser
Cerave Cleanser and Moisturizer
Cerave Renewing Sa Cleanser
Cerave Foaming Cleanser Review for Oily Skin
Discover the benefits of the Cerave Foaming Cleanser for oily skin in this review! Share your experiences with this product. #cerave #cleanserreview",4831,positive
https://www.tiktok.com/@itsbeverlysworld/video/7637595685910613262,"even if a product is bad, i will always be honest with yall!! and this is just not great under makeup, so i am not a fan of it
#GiftedByCeraVe #CeraVeMineralSunscreen #complimentary #CeraVe @influenster",1387,negative
https://www.tiktok.com/@terreetaughtme/video/7511577568181521706,If you want to noticeably repair your skin barrier overnight THIS is all you need 🙂‍↕️✨ @CeraVe #fyp #foryou #cerave #ceramides #dryskin #slugging #aquaphor #overnightmask #glasskin #beautytips,3826,positive
https://www.tiktok.com/@mellsdiary/video/7275053109515242784,Is CeraVe moisturising cream good for your skin? what should I do next,240,neutral
https://www.tiktok.com/@darkskinprince_/video/7592050216291814711,skincare# fyp# 😀 ??Which one yall picking up skincareproduct# skincaretips# CeraVe@ darkskinprince#,7976,neutral
https://www.tiktok.com/@exploringholistically/video/7490663346824465710,CeraVe This has gotta be the worst sunscreen I've ever tried. It did not rub in at all. Any rosacea friendly / demodex mite friendly sunscreen recommendations?,502,negative
https://www.tiktok.com/@chinnyama/video/7450722954503032106,cerave facial cleanser for your skin type #creatorsearchinsights #skincareroutine #facialcleanser #cerave #cleanser #CeraVe #skincare101,635,neutral
https://www.tiktok.com/@oliviarhyin/video/7537456648680525086,My favorite face wash 🫧#facewash #skincareroutine #skincare #creatorsearchinsights #cerave #fyp @CeraVe,99,positive
https://www.tiktok.com/@bettistringfellow/video/7068086239416716591,ShowUsYourDrawers# cerave# I wanted to love it CeraVe@ horrorstory# growthcontent# fashionblogger# tiktokgrowthtips# productsidontlike#,530,negative
https://www.tiktok.com/@tamunoabbey/video/7616394878360096022,CeraVe Invisible Hydrating Fluid Sunscreen SPF 50 on Dark Skin - It leaves a cast - It stings my eyes - It pills #cerave #sunscreen #sunscreenviral,13100,negative
https://www.tiktok.com/@meredithmlynch/video/6961509061661560070,,15500,neutral
https://www.tiktok.com/@sdcfvv543/video/7184138389476691242,"CeraVe Moisturizing Cream broke me out so badly. Back to my trusty Vanicream Daily Facial Moisturizer until this clears up!

#skincare #cerave #skincare #beauty #acne #skincareroutine #beautyroutine #dermatology #accutane #acnetreatment",3673,negative
https://www.tiktok.com/@mediaxmichell/video/7533424590492683551,"moisturizer #acne #acneproneskin
!!!always helping me out CeraVe@
#acneproneskincare #dryskin #moisturizer
#ceravepartner #cerave #skincare",281,positive
https://www.tiktok.com/@sandyesprit/video/7640832554945219860,"#creatorsearchinsights @cerave cleanser guide for every skin type 🫧 Which CeraVe cleanser is actually worth it for oily skin, dry skin, acne-prone skin, sensitive skin, or combination skin? I tested and compared the most popular CeraVe cleansers so you can find the best face wash for your skincare needs without wasting money 👀 From hydrating cleansers to foaming cleansers and acne control cleansers, here’s what worked, what didn’t, and which one might be your perfect match ✨ #CeraVe #CeraVeCleanser #SkincareReview #BestCleanser",283,neutral
https://www.tiktok.com/@once_upon_alifetime/video/7618488747872603414,"this product is my go to and I will always repurchase!

💙 Simple skincare that actually works

The CeraVe Moisturising Cream has been my go-to moisturiser for morning and night. It’s gentle, fragrance-free, and keeps my skin feeling hydrated and comfortable all day. Sometimes the basics really are the best.
@CeraVeUKI

#cerave #skincareroutine #dailyskincare #hydratedskin",20,positive
https://www.tiktok.com/@.kianamcgowan/video/7492547543990045983,"Help, What does this mean? Just expired or?",76,negative
https://www.tiktok.com/@skincareaddictionn/video/6956324946633166085,Ranking Cera Ve cleansers for normal/oily skin #skincarebyhyram #cleanser #skincare #cerave #skintok #happyskin #skincareaddict,1818,neutral
