video_url,video_description,like_count,sentiment,possible_ad,sentiment_suggestion,manual_keep,final_sentiment
https://www.tiktok.com/@natsworld222/video/7492936925842656543,"I am very impressed @cerave I live a good hydrating washday! I enjoyed both the shampoo and conditioner 🤩

#ceraveshampoo #cerave #natsworld222 #natsworld #review #ceraveconditioner",184,,False,positive,yes,positive
https://www.tiktok.com/@oliviarhyin/video/7537456648680525086,My favorite face wash 🫧#facewash #skincareroutine #skincare #creatorsearchinsights #cerave #fyp @CeraVe,99,,False,positive,yes,positive
https://www.tiktok.com/@dr_ingky/video/7606272059919928583,,,,False,unclear,yes,neutral
https://www.tiktok.com/@arabella_swan/video/7662812735909940510,This product is amazing it has helped me so much with my Blemishes and helped me with not picking at them! Overall a 10/10 product definitely recommend! #complimentary #GiftedByCeraVePatches #CeraVeBlemishControl @CeraVe @influenster,7,,True,positive,no,
https://www.tiktok.com/@brookemonk_/video/7531870133086670111,Don’t worry about Sam the new CeraVe Air Foam Cleanser is perfect for his combination skin! He’s happy to be covered in it 🤭 #CeraVePartner,204500,,True,positive,no,
https://www.tiktok.com/@prunboxed/video/7108105685107232005,"",3053,,False,unclear,yes,positive
https://www.tiktok.com/@terreetaughtme/video/7511577568181521706,If you want to noticeably repair your skin barrier overnight THIS is all you need 🙂‍↕️✨ @CeraVe #fyp #foryou #cerave #ceramides #dryskin #slugging #aquaphor #overnightmask #glasskin #beautytips,3826,,False,unclear,yes,positive
https://www.tiktok.com/@operation_niki/video/7662173851547143437,"#CeraVePartner The only squeak I want in my morning routine is my clean mirror. 🤍 The @CeraVe Foaming Facial Cleanser leaves my skin feeling clean, fresh, and balanced…never squeaky or stripped. It's been the perfect way to start my mornings. ✨ #MorningRoutine #Skincare #SkincareRoutine",8982,,True,positive,no,
https://www.tiktok.com/@mushumajed/video/7638985887405198612,"Two moisturizers, different formulas, both incredible for your skin #CeraVeArabia #CeraVePartner @CeraVe Arabia ad",5264,,True,unclear,no,
https://www.tiktok.com/@rubysacne/video/7489182749685812526,👻 #acne #mineralsunscreen #review #sunscreen #cerave cerave hydrating mineral sunscreen spf 50,5831,,False,unclear,no,
https://www.tiktok.com/@catduqbeauty/video/7619514603944348941,Love cerave but this is a miss for me #beauty #skincare #cleansingbalm #cerave,24,,False,neutral,yes,negative
https://www.tiktok.com/@user2767845063268/video/7536126293537049887,,,,False,unclear,no,
https://www.tiktok.com/@julianyouhana/video/7652883515675004190,,,,False,unclear,no,
https://www.tiktok.com/@.kianamcgowan/video/7492547543990045983,"Help, What does this mean? Just expired or?",76,,False,unclear,yes,negative
https://www.tiktok.com/@nealkshah/video/7647985851804192013,"A chemical linked to leukemia has been found in a skincare product CeraVe that's sitting in millions of bathrooms right now. An independent laboratory found benzene, a chemical directly linked to leukemia and blood cancers, in popular acne products at levels reportedly more than 100 times the federal safety limit. Six class action lawsuits were filed almost immediately against the parent company behind some of the most trusted skincare brands in America. The FDA ran their own tests in 2025 and pulled six specific products from shelves. The lawsuits are still active and no verdict has been reached. But here is what nobody is highlighting. The breakdown of this ingredient into a known carcinogen has not been disputed by anyone. Not the FDA. Not the companies being sued. The only argument is about how much and under what conditions. The American Cancer Society states there is no safe level of benzene exposure. If you are caring for someone elderly, immunocompromised, or a child, check your bathroom cabinet today. Cross reference any acne products containing benzoyl peroxide against the current FDA recall list before using them again. Caution costs you nothing.",568300,,False,unclear,no,
https://www.tiktok.com/@skincareaddictionn/video/6956324946633166085,Ranking Cera Ve cleansers for normal/oily skin #skincarebyhyram #cleanser #skincare #cerave #skintok #happyskin #skincareaddict,1818,,False,unclear,yes,neutral
https://www.tiktok.com/@thementorg1/video/7631321178551897357,"Is CeraVe ruining your skin? 🧴👎 Most men are blindly using this product without understanding what it’s actually doing to their face. In this video, I break down why it might be time to leave CeraVe behind — and what to use instead if you want real results.Whether you’re struggling with dry skin, breakouts, or dull texture — this is your wake-up call. Tap in and upgrade your skincare routine.📍For more self-care, skincare, and cologne game for men, follow thementorg. #SkincareForMen #CeraVe #MenSkinCare #StopUsingThis #GroomingTips #SelfCareForMen #TheMentorG #FaceCare #MensRoutine #MenGlowUp #ClearSkinJourney #SkincareTruth #SkincareMistakes #HealthySkinTips #MensLifestyle #FragranceAndFace",34,,False,negative,no,
https://www.tiktok.com/@theegeminiglow/video/7646814648318070030,Omg 😬 #cerave #cancer #toxic #ceraveskincare #foryoupage,126,,False,unclear,no,
https://www.tiktok.com/@lawsuitguru/video/7646410261632404766,CeraVe was linked to cancer. Here’s what to know… #classaction #lawsuit #cerave #cancer #healthcare,5521,,False,unclear,no,
https://www.tiktok.com/@chinnyama/video/7450722954503032106,cerave facial cleanser for your skin type #creatorsearchinsights #skincareroutine #facialcleanser #cerave #cleanser #CeraVe #skincare101,635,,False,unclear,yes,neutral
https://www.tiktok.com/@allyan_alyahn/video/7648634137317788936,,,,False,unclear,no,
https://www.tiktok.com/@xomissvi/video/7661419405603065102,"I had my tinted SPF on for about a little over 8 hours so it was time to remove once I got home from work. I wasn't impressed by this makeup melter. It claimed to be able to remove waterproof and stubborn makeup but it did not. I'd had other amazing makeup remover products that does the job super quickly with little effort. This one I'll rate a 6/10 😳

#makeup #fyp #skin #ceravepartner #cerave",7,,False,neutral,yes,neutral
https://www.tiktok.com/@drroochiarora/video/7662207097500667156,,102,,False,positive,no,
https://www.tiktok.com/@rylienealon/video/7588640721209462047,"If you’re trying new products, I highly recommend grabbing them on discount or using reward points that way, if it doesn’t work for your skin, the hit doesn’t feel as bad 😅✨",,,False,unclear,no,
https://www.tiktok.com/@dailyglambyshahad/video/7625022403818704158,"I had high hopes for this ...but it did NOTHING for my skin 😭 what toner do you recommend ??do you recommend
#honestreview #skincare #fyp",18,,False,negative,yes,negative
https://www.tiktok.com/@the_glow_chronicals/video/7600186010659573012,"Stop treating acne with a salicylic acid cleanser. It doesn’t stay on your skin long enough to actually do the job. It’s fine as support, but if you want results, use a leave-on BHA toner or serum instead. Do you use a salicylic acid cleanser for acne? 👇 #cleanser #skincareeducation #salycilicacid #acnejourney",87,,False,unclear,no,
https://www.tiktok.com/@creativespop/video/7451795014272781611,I thought that expensive stuff was helping me 😭 #acne #skincare #beeftallow #glowup #tiktokshop #tiktokmademebuyit,21000,,False,unclear,no,
https://www.tiktok.com/@natalie_oneillll/video/7324377521313582368,"I’ve said goodbye to ever working with Cerave many times, what’s another one? These are 4 acne products that I personally think often make acne a lot worse. Sometimes the product is poor, other times its the way it’s used incorrectly (usually shown on social media this way). This is a video for the edge cases, I’m sure many people also love these #badskincarehabits #worstskincareadvice #worstskincareproducts #skincaresmashorpass #viralskincare #overratedskincare",72100,,False,unclear,yes,negative
https://www.tiktok.com/@exploringholistically/video/7490663346824465710,CeraVe This has gotta be the worst sunscreen I've ever tried. It did not rub in at all. Any rosacea friendly / demodex mite friendly sunscreen recommendations?,502,,False,unclear,yes,negative
https://www.tiktok.com/@arias.secretdiary/video/7626876825435852054,It was hard to find western skincare bc I bought my whole family k beauty products😭 btw I low k hate this trend so don’t hate me for posting this🙏#relateable #wonyoungism #kbeauty #skincare #selfcare,1098,,False,negative,no,
https://www.tiktok.com/@kk.fyn/video/7512195284865142058,,,,False,unclear,no,
https://www.tiktok.com/@marram_3030/video/7560068853099678994,#اكسبلورexplore #fyp #غسول_وجه #cerave #غسول_سيرافي 😔,3252,,False,unclear,no,
https://www.tiktok.com/@princess.zeenah/video/7491022310393138437,"😭😭 I was really so disappointed, like this is the cerave hype
#skincarerant #fyp #skincarereview #skincare #cerave",68,,False,unclear,yes,negative
https://www.tiktok.com/@bettistringfellow/video/7068086239416716591,ShowUsYourDrawers# cerave# I wanted to love it CeraVe@ horrorstory# growthcontent# fashionblogger# tiktokgrowthtips# productsidontlike#,530,,False,unclear,yes,negative
https://www.tiktok.com/@angelocaa/video/7496275336754121990,,,,False,unclear,no,
https://www.tiktok.com/@tamunoabbey/video/7616394878360096022,CeraVe Invisible Hydrating Fluid Sunscreen SPF 50 on Dark Skin - It leaves a cast - It stings my eyes - It pills #cerave #sunscreen #sunscreenviral,13100,,False,unclear,yes,negative
https://www.tiktok.com/@thementorg1/video/7631321178551897357,"Is CeraVe ruining your skin? 🧴👎 Most men are blindly using this product without understanding what it’s actually doing to their face. In this video, I break down why it might be time to leave CeraVe behind — and what to use instead if you want real results.Whether you’re struggling with dry skin, breakouts, or dull texture — this is your wake-up call. Tap in and upgrade your skincare routine. 📍For more self-care, skincare, and CeraVe #SkincareForMen# .cologne game for men, follow thementorg# SelfCareForMen# GroomingTips# StopUsingThis# MenSkinCare# MenGlowUp# MensRoutine# FaceCare# TheMentorg# SkincareMistakes# SkincareTruth# ClearSkinJourney# FragranceAndFace# MensLifestyle# HealthySkinTips#",34,,False,unclear,yes,negative
https://www.tiktok.com/@ronyayvonne/video/7648817355279174943,HELP!!! What in the Super Divine & Ghostbusters Shiii is going on here on this day @CeraVe ??? Why is my skincare changing colors right before my eyes diva?!?! I’m nervous! 😬 #skincarefail #cerave,1804,,False,unclear,no,
https://www.tiktok.com/@taohyun/video/7122515042964131118,Esthetician reviews: #cerave resurfacing retinol serum. . sort of a fluid gel consistency that is a bit sticky on the skin in my opinion. A bit irritating to my skin barrier. . I would pass on it. #skincare #ulta #fyp,299,,False,unclear,yes,negative
https://www.tiktok.com/@drspf/video/7662127712558992671,"#CeraVePartner Leave the squeaks to your sneaks—not your face 👟 🫧 If your skin feels tight, dry, or stripped after cleansing, that “squeaky clean” feeling may be a sign your cleanser is disrupting your skin barrier 😢 Clean skin should feel refreshed, comfortable, and balanced 🙌 Choose a @CeraVe cleanser that works with your skin, not against it 🤙 #CeraVe #NBASummerLeague #Cleanser #SkincareMyths",32,,True,unclear,no,
https://www.tiktok.com/@maielsamedy/video/7640181998950157588,Cerave SA smoothing cleanser honest Review 📌#salisylicacid #facecleanser #cleanser #ceraveskincare #cerave,1456,,False,neutral,no,
https://www.tiktok.com/@ma_yar_ahmed/video/7376826606511295750,Cerave eye cream اتصدمت فيه بجد😭😭 الحمدلله الحباية بتصغر كل يوم بس محدش يجيبه يا جماعة #cerave #eyecream #review #honestreview #skincare #skincareroutine #skincaretips,506,,False,unclear,no,
https://www.tiktok.com/@akwaugoj/video/7563696105540619541,"Skincare Review PT.1: Cerave Foaming Cleanser. This cleanser works well for normal to oily skin. Since I now have a oily-combination skin, my skin loves it. @CeraVe
#cerave #ceravefoamingcleanser #cleanserreview #ceravecleanser
Have you used this cleanser before? Let me know your thoughts…
Cerave Exfoliating Cleanser
Cerave Face Wash
Cerave Cleanser Burning
Cerave Sa Cleanser
Cerave Facial Cleanser Recall
Cerave Soothing Face Cleanser
Cerave Cleanser Ad
Cerave Foaming Cleanser
Cerave Cleanser and Moisturizer
Cerave Renewing Sa Cleanser
Cerave Foaming Cleanser Review for Oily Skin
Discover the benefits of the Cerave Foaming Cleanser for oily skin in this review! Share your experiences with this product. #cerave #cleanserreview",4831,,False,unclear,yes,positive
https://www.tiktok.com/@drnourgerbaka/video/7528818232388586770,#skincare #ceravearabia #CeraVe Arabia | A cleanser for every skin type #cleansers #skincareroutine #dermatologist #drnour#,147,,False,unclear,yes,neutral
https://www.tiktok.com/@garbo.zhu/video/7628263557305568520,"cleanse smart, not harder with @CeraVe #cerasquad2026 #ceravepartner",11400,,True,unclear,no,
https://www.tiktok.com/@sudscrub/video/7662449690084003086,Your cleanser might be doing less than you think 👀 #Skincare #FaceWash #CeraVe #SudScrub,114,,False,unclear,no,
https://www.tiktok.com/@manducheekz/video/7647112982488485141,"The older I get, the more I realize that squeaky clean isn’t the goal. Healthy, balanced skin is. 💙 A good cleanser really goes a long way.

#CleanseLikeADerm #CeraVePH #CeraVe",1279,,False,unclear,yes,positive
https://www.tiktok.com/@itsbeverlysworld/video/7637595685910613262,"even if a product is bad, i will always be honest with yall!! and this is just not great under makeup, so i am not a fan of it
#GiftedByCeraVe #CeraVeMineralSunscreen #complimentary #CeraVe @influenster",1387,,False,unclear,yes,negative
https://www.tiktok.com/@tchaoskin/video/7559453084326300959,"Replying to @Tasha T a lot of the common cleansers I’ve tried unfortunately have been extremely underwhelming 🥲

i’m not getting the hype behind this Cerave foaming oil cleanser at all

*pr without oblig to post

#cerave #ceraveskincare #drugstoreskinscare #facecleanser #facialcleanser",5541,,False,unclear,yes,Negative
https://www.tiktok.com/@oritsetemisan/video/7616249158025956630,"My skin barrier was really struggling recently… my skin felt so dry and sensitive. Since using the CeraVe Moisturising Cream, my skin has felt so much more hydrated and calmer already. @CeraVeUKI 💙 #cerave #ceravemoisturizingcream #ceravemoisturiser #cerawardsuki #lorealistarskincident",2786,,False,unclear,yes,positive
https://www.tiktok.com/@natalie_oneillll/video/7472781932615601410,I also rate the whole cerave range in an earlier video ✨ smash or pass Cerave cleansers bc they get so much hype #cerave #affordableskincare #skincareproduct #acneproneskin,31600,,False,unclear,yes,neutral
https://www.tiktok.com/@rubysacne/video/7628636046015646989,Replying to @shelbie_banister17 my thoughts on the new Cerave mineralspf #mineralsunscreen # “Invisible” mineral sunscreen #cerave,1499,,False,neutral,yes,neutral
https://www.tiktok.com/@meredithmlynch/video/6961509061661560070,"",15500,,False,neutral,yes,neutral
https://www.tiktok.com/@dr.derm.love/video/7637266860160879903,#fyp #cetaphil #cerave #cleansers CeraVe v Cetaphil? Which do you like,47,,False,neutral,yes,neutral
https://www.tiktok.com/@prince_kkyy/video/7559045491355389214,RETURNED THAT LOTION REAL QUICK TODAY! 🤢🤢🤢🤢 #cerave #skincare,111,,False,unclear,yes,negative
https://www.tiktok.com/@mellsdiary/video/7275053109515242784,Is CeraVe moisturising cream good for your skin? what should I do next,240,,False,unclear,yes,neutral
https://www.tiktok.com/@adamrobertlamb/video/7437790256453225761,"Rating Popular CeraVe Cleansers from BEST to WORST!
#skincare101 #ceraveskincare #cerave #affordableskincare #skincaretips #skincaretiktok",164,,False,negative,yes,neutral
https://www.tiktok.com/@cerave/video/7446828993011092778,Not sure which CeraVe cleanser is perfect for your skin type? We’ve got you covered! Watch this breakdown & let us know in the comments which product range we should cover next. 👇💙🥼✨ #CeraVe #Cleansers #SkinType #OilySkin #DrySkin,10600,,False,positive,no,
https://www.tiktok.com/@skingnature/video/7610470551508831506,كثير مرضى عندي بيستعملوا Cerave Foaming Cleanser،فقررت أحكي تقييم علمي سريع: ✔️ مناسب للدهنية والمختلطة ✔️ ما فيه عطور ✔️ بيدعم الحاجز الجلدي بس في حالات ما بفضّلو فيها… شرحتها بالفيديو 👆 إذا بدكوا تقييمات أكتر لمنتجات ترند قولولي شو تحبوا بعد #cerave #ceraveskinca #skingnature_by_sahar,80,,False,unclear,no,
https://www.tiktok.com/@danadoo96/video/7635722893896256782,Expensive skincare does not always mean effective skincare‼️ @CeraVe @LaRochePosayUS @La Roche-Posay @Vanicream™ Sensitive Skin Care #dermatologynurse #skincaretips #affordableskincare #facecleanser #dermnurse,118,,False,positive,no,
https://www.tiktok.com/@rubeslanamay/video/7453093370823494945,Cerave Review : Best & Worst🚨 #cerave #bestandworst #skincarereview #smashorpass #bestskincareproducts #worstskincareadvice #worstskincareproducts #viralskincare #fyp #foryou #acnesafeskincare,228,,False,unclear,yes,neutral
https://www.tiktok.com/@darkskinprince_/video/7592050216291814711,skincare# fyp# 😀 ??Which one yall picking up skincareproduct# skincaretips# CeraVe@ darkskinprince#,7976,,False,unclear,yes,neutral
https://www.tiktok.com/@rylienealon/video/7588640721209462047,greenscreen#,97,,False,unclear,yes,negative
https://www.tiktok.com/@dr_ahmed_temraz/video/7629832759426469127,الفرق بين غسولات سيرافي Cerave cleanser 💙 ❌❌❌❌❌❌,2630,,False,unclear,no,
https://www.tiktok.com/@megamindpharmacist/video/7661870332738948373,So what makes @CeraVe products different? One reason is that they have MVE (Multi-vesicular Emulsion) technology which helps deliver lasting skin barrier support and moisturising ingredients in stages rather than all at once. This then helps maintain moisture for up to 24 hours at a time. #cerave #skincare #sponsored #developedwithdermatologists,96,,True,neutral,no,
https://www.tiktok.com/@kendrathemom_/video/7295808298274671877,"The difference between these two Cerave cleansers! What product should I do next
#kendrathemom #skincarereviews #brandreview #cerave",4192,,False,neutral,yes,neutral
https://www.tiktok.com/@sdcfvv543/video/7184138389476691242,"CeraVe Moisturizing Cream broke me out so badly. Back to my trusty Vanicream Daily Facial Moisturizer until this clears up!

#skincare #cerave #skincare #beauty #acne #skincareroutine #beautyroutine #dermatology #accutane #acnetreatment",3673,,False,negative,yes,negative
https://www.tiktok.com/@sandyesprit/video/7640832554945219860,"#creatorsearchinsights @cerave cleanser guide for every skin type 🫧 Which CeraVe cleanser is actually worth it for oily skin, dry skin, acne-prone skin, sensitive skin, or combination skin? I tested and compared the most popular CeraVe cleansers so you can find the best face wash for your skincare needs without wasting money 👀 From hydrating cleansers to foaming cleansers and acne control cleansers, here’s what worked, what didn’t, and which one might be your perfect match ✨ #CeraVe #CeraVeCleanser #SkincareReview #BestCleanser",283,,False,positive,yes,neutral
https://www.tiktok.com/@rose.friederike/video/7163294525820030213,,556900,,False,unclear,yes,positive
https://www.tiktok.com/@therealskiniminmd/video/7482090635835739438,#doctor #productreview #hairlossdoc #cerave,277,,False,negative,yes,negative